"COLUMN_NAME"	"DATA_TYPE"	"DATA_LENGTH"	"NULLABLE"
"IDANALISE"	"NUMBER"	22	"N"
"CODPARC"	"NUMBER"	22	"Y"
"CODPARC_BASE"	"NUMBER"	22	"Y"
"DT_REFERENCIA"	"DATE"	7	"Y"
"DH_PROCESSAMENTO"	"DATE"	7	"Y"
"VERSAO_MODELO"	"VARCHAR2"	100	"Y"
"STATUS_ANALISE"	"VARCHAR2"	100	"Y"
"LIMCRED_ATUAL"	"FLOAT"	22	"Y"
"VLR_COMPRA_3M"	"FLOAT"	22	"Y"
"VLR_COMPRA_6M"	"FLOAT"	22	"Y"
"VLR_COMPRA_12M"	"FLOAT"	22	"Y"
"MEDIA_MENSAL_3M"	"FLOAT"	22	"Y"
"MEDIA_MENSAL_6M"	"FLOAT"	22	"Y"
"MEDIA_MENSAL_12M"	"FLOAT"	22	"Y"
"TENDENCIA_COMPRA_PERC"	"FLOAT"	22	"Y"
"QTD_NOTAS_12M"	"NUMBER"	22	"Y"
"QTD_MESES_COMPRA_12M"	"NUMBER"	22	"Y"
"DT_ULTIMA_COMPRA"	"DATE"	7	"Y"
"VLR_ABERTO"	"FLOAT"	22	"Y"
"VLR_A_VENCER"	"FLOAT"	22	"Y"
"VLR_VENCIDO"	"FLOAT"	22	"Y"
"PCT_VENCIDO_ABERTO"	"FLOAT"	22	"Y"
"QTD_TIT_ABERTO"	"NUMBER"	22	"Y"
"QTD_TIT_PAGOS_12M"	"NUMBER"	22	"Y"
"QTD_TIT_ATRASO_12M"	"NUMBER"	22	"Y"
"PCT_PAGO_EM_DIA"	"FLOAT"	22	"Y"
"ATRASO_MEDIO_DIAS"	"FLOAT"	22	"Y"
"MAIOR_ATRASO_DIAS"	"FLOAT"	22	"Y"
"PRAZO_MEDIO_DIAS"	"FLOAT"	22	"Y"
"VLR_CHQ_PEND_CONTA16"	"FLOAT"	22	"Y"
"QTD_CHQ_PEND_CONTA16"	"NUMBER"	22	"Y"
"VLR_TOTAL_COMPROMETIDO"	"FLOAT"	22	"Y"
"IND_COMPRA"	"FLOAT"	22	"Y"
"IND_PAGAMENTO"	"FLOAT"	22	"Y"
"IND_ATRASO"	"FLOAT"	22	"Y"
"IND_EXPOSICAO"	"FLOAT"	22	"Y"
"IND_RELACIONAMENTO"	"FLOAT"	22	"Y"
"SCORE_FINAL"	"FLOAT"	22	"Y"
"FAIXA_RISCO"	"VARCHAR2"	100	"Y"
"LIMITE_BASE"	"FLOAT"	22	"Y"
"FATOR_SCORE"	"FLOAT"	22	"Y"
"LIMITE_SUGERIDO"	"FLOAT"	22	"Y"
"LIMITE_DISP_AJUSTADO"	"FLOAT"	22	"Y"
"VARIACAO_LIMITE"	"FLOAT"	22	"Y"
"PCT_VARIACAO_LIMITE"	"FLOAT"	22	"Y"
"DECISAO"	"VARCHAR2"	100	"Y"
"MOTIVO_DECISAO"	"VARCHAR2"	1000	"Y"
"FL_PUBLICADO_TGFPAR"	"VARCHAR2"	10	"Y"
"DH_PUBLICACAO"	"DATE"	7	"Y"
"ERRO_MSG"	"VARCHAR2"	4000	"Y"
